ticker,Date,Free Cash Flow,Beginning Cash Position,End Cash Position,Total Revenue,Gross Profit,Net Income,Diluted EPS,Research And Development,EBITDA,Tax Provision,Total Debt,Working Capital
GOOGL,2025-12-31,73266000000.0,23466000000.0,30708000000.0,402836000000.0,240301000000.0,132170000000.0,10.81,61087000000.0,180698000000.0,26656000000.0,59291000000.0,103293000000.0
GOOGL,2024-12-31,72764000000.0,24048000000.0,23466000000.0,350018000000.0,203712000000.0,100118000000.0,8.04,49326000000.0,135394000000.0,19697000000.0,22574000000.0,74589000000.0
GOOGL,2023-12-31,69495000000.0,21879000000.0,24048000000.0,307394000000.0,174062000000.0,73795000000.0,5.8,45427000000.0,97971000000.0,11922000000.0,27121000000.0,89716000000.0
GOOGL,2022-12-31,60010000000.0,20945000000.0,21879000000.0,282836000000.0,156633000000.0,59972000000.0,4.56,39500000000.0,85160000000.0,11356000000.0,29679000000.0,95495000000.0
GOOGL,2021-12-31,,,,,,,,,,,,
META,2025-12-31,46109000000.0,45438000000.0,39100000000.0,200966000000.0,164791000000.0,60458000000.0,,57372000000.0,105713000000.0,25474000000.0,83897000000.0,66886000000.0
META,2024-12-31,54072000000.0,42827000000.0,45438000000.0,164501000000.0,134340000000.0,62360000000.0,23.86,43873000000.0,86876000000.0,8303000000.0,49060000000.0,66449000000.0
META,2023-12-31,44068000000.0,15596000000.0,42827000000.0,134902000000.0,108943000000.0,39098000000.0,14.87,38483000000.0,59052000000.0,8330000000.0,37234000000.0,53405000000.0
META,2022-12-31,19289000000.0,16865000000.0,15596000000.0,116609000000.0,91360000000.0,23200000000.0,8.59,35338000000.0,37690000000.0,5619000000.0,26591000000.0,32523000000.0
META,2021-12-31,,,,,,,13.77,,,,,
MSFT,2025-06-30,71611000000.0,18315000000.0,30242000000.0,281724000000.0,193893000000.0,101832000000.0,13.64,32488000000.0,160165000000.0,21795000000.0,60588000000.0,49913000000.0
MSFT,2024-06-30,74071000000.0,34704000000.0,18315000000.0,245122000000.0,171008000000.0,88136000000.0,11.8,29510000000.0,133009000000.0,19651000000.0,67127000000.0,34448000000.0
MSFT,2023-06-30,59475000000.0,13931000000.0,34704000000.0,211915000000.0,146052000000.0,72361000000.0,9.68,27195000000.0,105140000000.0,16950000000.0,59965000000.0,80108000000.0
MSFT,2022-06-30,65149000000.0,14224000000.0,13931000000.0,198270000000.0,135620000000.0,72738000000.0,9.65,24512000000.0,100239000000.0,10978000000.0,61270000000.0,74602000000.0
NVDA,2026-01-31,96676000000.0,8589000000.0,10605000000.0,215938000000.0,153463000000.0,120067000000.0,4.9,18497000000.0,144552000000.0,21383000000.0,11040000000.0,93442000000.0
NVDA,2025-01-31,60853000000.0,7280000000.0,8589000000.0,130497000000.0,97858000000.0,72880000000.0,2.94,12914000000.0,86137000000.0,11146000000.0,9982000000.0,62079000000.0
NVDA,2024-01-31,27021000000.0,3389000000.0,7280000000.0,60922000000.0,44301000000.0,29760000000.0,1.19,8675000000.0,35583000000.0,4058000000.0,11056000000.0,33714000000.0
NVDA,2023-01-31,3808000000.0,1990000000.0,3389000000.0,26974000000.0,15356000000.0,4368000000.0,0.174,7339000000.0,5986000000.0,-187000000.0,12031000000.0,16510000000.0
NVDA,2022-01-31,,,,,,,,,,,,
PLTR,2025-12-31,2100591000.0,2119936000.0,1451425000.0,4475446000.0,3686269000.0,1625033000.0,0.63,557677000.0,1440160000.0,22724000.0,229338000.0,7182593000.0
PLTR,2024-12-31,1141231000.0,850107000.0,2119936000.0,2865507000.0,2299517000.0,462190000.0,0.190277,507878000.0,341990000.0,21255000.0,239219000.0,4938271000.0
PLTR,2023-12-31,697069000.0,2627335000.0,850107000.0,2225012000.0,1793907000.0,209825000.0,0.090131,404624000.0,153320000.0,19716000.0,229392000.0,3392600000.0
PLTR,2022-12-31,183710000.0,2366914000.0,2627335000.0,1905871000.0,1497322000.0,-373705000.0,-0.180263,359679000.0,-138679000.0,10067000.0,249404000.0,2453636000.0
PLTR,2021-12-31,,,,,,,,,,,,
